term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
species,magna,dentifera,0,7.934969349658199,7.127973219075464,8.741965480240934,0,****
time,day,night,0,1.7012386352329685,0.8953610029432505,2.5071162675226866,1.4e-4,***
species:time,magna:day,dentifera:day,0,6.843892791516613,5.327180085052607,8.360605497980618,3.22e-13,****
species:time,magna:day,magna:night,0,0.6675871590988356,-0.8086725850392209,2.1438469032368923,0.618,ns
species:time,magna:day,dentifera:night,0,9.69363306689862,8.176920360434615,11.210345773362626,0,****
species:time,dentifera:day,magna:night,0,-6.176305632417778,-7.693018338881783,-4.659592925953772,5.73e-12,****
species:time,dentifera:day,dentifera:night,0,2.8497402753820076,1.293625872217453,4.405854678546563,1.14e-4,***
species:time,magna:night,dentifera:night,0,9.026045907799785,7.50933320133578,10.542758614263791,0,****
